category;title;fnacUrl;descSub;price;imgLink;review;reviewNumber
"Informatique, Tablettes";"PC Ultra Portable Asus S415JA-EK128T 14" Intel Core i5 8 Go RAM 256 Go SSD Gris";"https://www.fnac.com/PC-Ultra-Portable-Asus-S415JA-EK128T-14-Intel-Core-i5-8-Go-RAM-256-Go-SSD-Gris/a15581613/w-4";"PC Portable - Asus fnac+ 4.5 ( 7 )";599.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/37/50/f6/16142391/1545-1/tsp20210531135554/PC-Ultra-Portable-Asus-S415JA-EK128T-14-Intel-Core-i5-8-Go-RAM-256-Go-D-Gris.jpg";"4.5";7
"Informatique, Tablettes";"PC Hybride Microsoft Surface Pro 7 12.3" Intel Core i7 16 Go RAM 256 Go SSD Platine";"https://www.fnac.com/PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i7-16-Go-RAM-256-Go-SSD-Platine/a13796643/w-4";"PC Portable - Microsoft fnac+ 4.5 ( 6 ) 5 Labo Fnac";1335.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/cb/12/c1/12653259/1545-1/tsp20210603114453/PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i7-16-Go-RAM-256-Go-D-Platine.jpg";"4.5";6
"Informatique, Tablettes";"PC Ultra-Portable Microsoft Surface Laptop Go 12.4" Intel Core i5 8 Go RAM 128 Go SSD Or";"https://www.fnac.com/PC-Ultra-Portable-Microsoft-Surface-Laptop-Go-12-4-Intel-Core-i5-8-Go-RAM-128-Go-SSD-Or/a15115556/w-4";"PC Portable - Microsoft fnac+ 4.5 ( 17 )";699.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/a6/1f/ee/15605670/1545-1/tsp20210531134602/PC-Ultra-Portable-Microsoft-Surface-Laptop-Go-12-4-Intel-Core-i5-8-Go-RAM-128-Go-D-Or.jpg";"4.5";17
"Informatique, Tablettes";"PC Hybride Microsoft Surface Pro 7 12.3" Intel Core i7 16 Go RAM 512 Go SSD Noir";"https://www.fnac.com/PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i7-16-Go-RAM-512-Go-SSD-Noir/a13796664/w-4";"PC Portable - Microsoft fnac+ 4.5 ( 7 ) 5 Labo Fnac";1695.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/dd/12/c1/12653277/1545-1/tsp20210531132443/PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i7-16-Go-RAM-512-Go-D-Noir.jpg";"4.5";7
"Informatique, Tablettes";"PC Hybride Microsoft Surface Pro 7 12.3" Intel Core i5 8 Go RAM 128 Go SSD Platine";"https://www.fnac.com/PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i5-8-Go-RAM-128-Go-SSD-Platine/a13796647/w-4";"PC Portable - Microsoft fnac+ 4.5 ( 18 ) 5 Labo Fnac";855.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/d2/12/c1/12653266/1545-1/tsp20210603114453/PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i5-8-Go-RAM-128-Go-D-Platine.jpg";"4.5";18
"Smartphones & Objets connectés";"Apple iPhone 12 6,1" 128 Go Double SIM 5G Bleu";"https://www.fnac.com/Apple-iPhone-12-6-1-128-Go-Double-SIM-5G-Bleu/a13746008/w-4";"Smartphone - Apple 5 ( 61 ) 5 Labo Fnac";899;"https://static.fnac-static.com/multimedia/Images/FR/MDM/6a/b2/bd/12431978/1545-1/tsp20210518180957/Apple-iPhone-12-6-1-128-Go-Double-SIM-5G-Bleu.jpg";"5";61
"Smartphones & Objets connectés";"Apple iPhone 12 6,1" 64 Go Double SIM 5G Noir";"https://www.fnac.com/Apple-iPhone-12-6-1-64-Go-Double-SIM-5G-Noir/a13746095/w-4";"Smartphone - Apple 5 ( 48 ) 5 Labo Fnac";849;"https://static.fnac-static.com/multimedia/Images/FR/MDM/c2/b2/bd/12432066/1545-1/tsp20210518180957/Apple-iPhone-12-6-1-64-Go-Double-SIM-5G-Noir.jpg";"5";48
"Smartphones & Objets connectés";"Smartphone Samsung Galaxy S21 Ultra 6,8" 128 Go 5G Double SIM Argent";"https://www.fnac.com/Smartphone-Samsung-Galaxy-S21-Ultra-6-8-128-Go-5G-Double-SIM-Argent/a15584922/w-4";"Smartphone - Samsung fnac+ 5 ( 1 ) 5 Labo Fnac";1259;"https://static.fnac-static.com/multimedia/Images/FR/MDM/15/5e/f6/16145941/1545-1/tsp20210216100846/Smartphone-Samsung-Galaxy-S21-Ultra-6-8-128-Go-5G-Double-SIM-Argent.jpg";"5";1
"Smartphones & Objets connectés";"Smartphone Samsung Galaxy S21 Ultra 6,8" 256 Go 5G Double SIM Argent";"https://www.fnac.com/Smartphone-Samsung-Galaxy-S21-Ultra-6-8-256-Go-5G-Double-SIM-Argent/a15584919/w-4";"Smartphone - Samsung fnac+ 5 ( 4 ) 5 Labo Fnac";1309;"https://static.fnac-static.com/multimedia/Images/FR/MDM/12/5e/f6/16145938/1545-1/tsp20210216100846/Smartphone-Samsung-Galaxy-S21-Ultra-6-8-256-Go-5G-Double-SIM-Argent.jpg";"5";4
"Smartphones & Objets connectés";"Smartphone Samsung Galaxy S21 6,2" 256 Go 5G Double SIM Violet";"https://www.fnac.com/Smartphone-Samsung-Galaxy-S21-6-2-256-Go-5G-Double-SIM-Violet/a15584899/w-4";"Smartphone - Samsung fnac+ 5 ( 5 ) 5 Labo Fnac";909;"https://static.fnac-static.com/multimedia/Images/FR/MDM/63/59/f6/16144739/1545-1/tsp20210216100846/Smartphone-Samsung-Galaxy-S21-6-2-256-Go-5G-Double-SIM-Violet.jpg";"5";5
